,import_price,export_price,grid_import_ph1,grid_import_ph2,grid_import_ph3,grid_export_ph1,grid_export_ph2,grid_export_ph3,grid_import_ph1*import_price,grid_import_ph2*import_price,grid_import_ph3*import_price,total_grid_import*import_price,grid_export_ph1*export_price,grid_export_ph2*export_price,grid_export_ph3*export_price,total_grid_export*export_price
1,4.03e-05,8e-05,1714.0282264666666,1820.1764644666669,1926.3247024666668,0.0,0.0,0.0,0.06907533752660666,0.07335311151800666,0.07763088550940667,0.22005933455402,0.0,0.0,0.0,0.0
2,3.31e-05,8e-05,1642.9095324666669,1741.091269466667,1839.273006466667,0.0,0.0,0.0,0.05438030552464667,0.057630121019346676,0.060879936514046676,0.17289036305804,0.0,0.0,0.0,0.0
3,2.29e-05,8e-05,1717.410490866667,1823.6146998666668,1929.818909866667,0.0,0.0,0.0,0.03932870024084668,0.041760776626946675,0.04419285303594667,0.12528232990374003,0.0,0.0,0.0,0.0
4,2e-05,8e-05,1061.0910474,1179.0567283999999,1297.0224094,0.0,0.0,0.0,0.021221820948,0.023581134568,0.025940448188000002,0.07074340370400001,0.0,0.0,0.0,0.0
5,1.42e-05,8e-05,985.4003168,1094.9051898,1204.4100627999999,0.0,0.0,0.0,0.01399268449856,0.01554765369516,0.017102622891759997,0.046642961085479995,0.0,0.0,0.0,0.0
6,1.42e-05,8e-05,1083.4554962,1205.1864722,1326.9174472,0.0,0.0,0.0,0.01538506804604,0.01711364790524,0.018842227750239998,0.051340943701519995,0.0,0.0,0.0,0.0
7,2.18e-05,8e-05,933.3620028,1045.1560018,1156.9500008,0.0,0.0,0.0,0.02034729166104,0.02278440083924,0.02522151001744,0.06835320251772,0.0,0.0,0.0,0.0
8,4.58e-05,8e-05,1065.6849568,1206.8125058,1347.9400558,0.0,0.0,0.0,0.048808371021440006,0.055272012765640005,0.06173565455564,0.16581603834272002,0.0,0.0,0.0,0.0
9,6.56e-05,8e-05,1648.8579044,1879.4636014,2110.0692974,0.0,0.0,0.0,0.10816507852863999,0.12329281225184,0.13842054590943997,0.36987843668991993,0.0,0.0,0.0,0.0
10,6.24e-05,8e-05,2687.5182723999997,3072.7488273999998,3457.9793813999995,0.0,0.0,0.0,0.16770114019775997,0.19173952682975998,0.21577791339935998,0.5752185804268799,0.0,0.0,0.0,0.0
11,4.99e-05,8e-05,2439.228462,2846.915277,3254.6020929999995,0.0,0.0,0.0,0.1217175002538,0.1420610723223,0.16240464444069996,0.42618321701679995,0.0,0.0,0.0,0.0
12,4.02e-05,8e-05,1957.1414340000001,2354.898583,2752.655731,0.0,0.0,0.0,0.07867708564680001,0.09466692303660001,0.1106567603862,0.28400076906960003,0.0,0.0,0.0,0.0
13,3.24e-05,8e-05,1427.7151139999999,1796.059532,2164.40395,0.0,0.0,0.0,0.0462579696936,0.058192328836800006,0.07012668798,0.1745769865104,0.0,0.0,0.0,0.0
14,3.02e-05,8e-05,827.553422,1141.8309639999998,1456.1085050000002,0.0,0.0,0.0,0.024992113344399998,0.03448329511279999,0.043974476851000005,0.10344988530819998,0.0,0.0,0.0,0.0
15,2.6e-05,8e-05,1199.384338,1543.100631,1886.816924,0.0,0.0,0.0,0.031183992788,0.040120616405999995,0.049057240024,0.120361849218,0.0,0.0,0.0,0.0
16,3e-05,8e-05,1678.384233,2053.223309,2428.062384,0.0,0.0,0.0,0.05035152699,0.06159669927,0.07284187152,0.18479009778,0.0,0.0,0.0,0.0
17,4.5e-05,8e-05,1323.6559389999998,1616.747832,1909.8397249999998,0.0,0.0,0.0,0.05956451725499999,0.07275365244000001,0.085942787625,0.21826095732,0.0,0.0,0.0,0.0
18,6.17e-05,8e-05,2525.0735631333337,2728.409042133334,2931.7445211333334,0.0,0.0,0.0,0.15579703884532667,0.1683428378996267,0.18088863695392665,0.50502851369888,0.0,0.0,0.0,0.0
19,7.71e-05,8e-05,2490.5692313333334,2636.4792693333334,2782.3893063333335,0.0,0.0,0.0,0.1920228877358,0.20327255166560002,0.21452221551830003,0.6098176549197001,0.0,0.0,0.0,0.0
20,7.97e-05,8e-05,2548.8821261333337,2669.8074311333335,2790.7327361333337,0.0,0.0,0.0,0.2031459054528267,0.21278365226132667,0.2224213990698267,0.6383509567839801,0.0,0.0,0.0,0.0
21,6.62e-05,8e-05,2648.045122733334,2772.770109733334,2897.495096733334,0.0,0.0,0.0,0.17530058712494673,0.18355738126434668,0.19181417540374668,0.5506721437930401,0.0,0.0,0.0,0.0
22,5.29e-05,8e-05,2634.603001533334,2757.801422533334,2880.9998425333342,0.0,0.0,0.0,0.13937049878111338,0.14588769525201337,0.15240489167001336,0.4376630857031401,0.0,0.0,0.0,0.0
23,4.01e-05,8e-05,2678.178849533334,2806.3167975333336,2934.454745533334,0.0,0.0,0.0,0.10739497186628669,0.11253330358108667,0.11767163529588669,0.33759991074326007,0.0,0.0,0.0,0.0
24,2.23e-05,8e-05,2614.235910333334,2735.3000543333337,2856.3641993333335,0.0,0.0,0.0,0.05829746080043334,0.06099719121163334,0.06369692164513334,0.18299157365720004,0.0,0.0,0.0,0.0
