Hora,PV_kW,Load_kW,Grid_Import_kW,Grid_Export_kW,Custo_Hora,Preco_Imp,BESS_kW,SOC_BESS_%,EV1_kW,SOC_EV1_%,Alpha_EV1,EV2_kW,SOC_EV2_%,Alpha_EV2
1,0.02,0.955,0.0,0.0,0.0,0.0901,-0.935,5.36,0.0,12.5,0.0,0.0,25.0,0.0
2,0.018,0.884,0.346,0.0,0.0311,0.0901,-0.52,0.0,0.0,12.5,0.0,0.0,25.0,0.0
3,0.013,0.956,0.943,0.0,0.085,0.0901,-0.0,0.0,0.0,12.5,0.0,0.0,25.0,0.0
4,0.002,1.062,1.06,0.0,0.0955,0.0901,-0.0,0.0,0.0,12.5,0.0,0.0,25.0,0.0
5,0.0,0.986,0.985,0.0,0.0888,0.0901,-0.0,0.0,0.0,12.5,0.0,0.0,25.0,0.0
6,0.03,1.096,1.065,0.0,0.096,0.0901,-0.0,0.0,0.0,12.5,0.0,0.0,25.0,0.0
7,0.182,1.006,3.124,0.0,0.2815,0.0901,-0.0,0.0,0.0,12.5,0.0,2.3,31.61,1.0
8,0.511,1.27,6.9,0.0,0.6217,0.0901,-0.0,0.0,3.84,21.33,1.0,2.3,38.22,1.0
9,1.066,2.075,6.9,0.0,1.075,0.1558,-0.0,0.0,5.89,34.88,1.0,0.0,38.22,0.0
10,1.949,3.467,6.9,0.0,1.075,0.1558,-0.0,0.0,5.38,47.25,1.0,0.0,38.22,0.0
11,3.075,3.669,6.9,0.0,1.5401,0.2232,-0.0,0.0,4.01,56.48,1.0,2.3,44.84,1.0
12,4.057,3.58,6.9,0.0,1.5401,0.2232,-0.0,0.0,5.08,68.16,1.0,2.3,51.45,1.0
13,4.718,3.315,0.897,0.0,0.1397,0.1558,-0.0,0.0,0.0,68.16,0.0,2.3,58.06,1.0
14,5.002,2.828,0.126,0.0,0.0197,0.1558,-0.0,0.0,0.0,68.16,0.0,2.3,64.68,1.0
15,4.735,3.093,6.9,0.0,1.075,0.1558,-0.0,0.0,6.24,82.51,1.0,2.3,71.29,1.0
16,4.238,3.374,6.9,0.0,1.075,0.1558,-0.0,0.0,5.46,95.07,1.0,2.3,77.9,1.0
17,3.285,2.638,3.796,0.0,0.5914,0.1558,-0.0,0.0,2.14,99.99,1.0,2.3,84.51,1.0
18,2.096,1.83,0.0,0.0,0.0,0.1558,0.262,2.54,0.0,99.99,1.0,0.0,84.51,0.0
19,0.89,1.313,0.177,0.0,0.0394,0.2232,-0.247,0.0,0.0,99.99,0.0,0.0,84.51,0.0
20,0.182,1.088,0.906,0.0,0.2023,0.2232,-0.0,0.0,0.0,99.99,0.0,0.0,84.51,0.0
21,0.02,1.123,1.103,0.0,0.1718,0.1558,-0.0,0.0,0.0,99.99,0.0,0.0,84.51,0.0
22,0.019,1.109,1.09,0.0,0.1698,0.1558,-0.0,0.0,0.0,99.99,0.0,0.0,84.51,0.0
23,0.021,1.153,1.132,0.0,0.102,0.0901,-0.0,0.0,0.0,99.99,0.0,0.0,84.51,0.0
24,0.022,1.09,1.068,0.0,0.0962,0.0901,-0.0,0.0,0.0,99.99,0.0,0.0,84.51,0.0
