Hora,Modo_Operacao,Preco_Imp,PV_kW,Load_kW,Grid_Import_kW,Grid_Export_kW,Custo_Hora_Euros,Opt_BESS_kW,Setpoint_BESS_kW,SOC_BESS_%,Alpha_EV1,Opt_EV1_kW,Cmd_EV1_kW,Act_EV1_kW,SOC_EV1_%,Energy_EV1_kWh,Target_Energy_EV1_kWh,Alpha_EV2,Opt_EV2_kW,Cmd_EV2_kW,Act_EV2_kW,SOC_EV2_%,Energy_EV2_kWh,Target_Energy_EV2_kWh
1,ARB (Pure Charge),0.0901,0.02,0.955,3.435,0.0,0.3095,2.5,2.5,39.25,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,25.0,8.0,28.8
2,ARB (Pure Charge),0.0901,0.018,0.884,3.365,0.0,0.3032,2.5,2.5,63.5,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,25.0,8.0,28.8
3,ARB (Pure Charge),0.0901,0.013,0.956,2.143,0.0,0.1931,1.263,1.2,75.14,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,25.0,8.0,28.8
4,IDLE,0.0901,0.002,1.062,1.06,0.0,0.0955,0.0,0.0,75.14,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,25.0,8.0,28.8
5,IDLE,0.0901,0.0,0.986,0.985,0.0,0.0888,0.0,0.0,75.14,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,25.0,8.0,28.8
6,IDLE,0.0901,0.03,1.096,1.065,0.0,0.096,0.0,0.0,75.14,0,0.0,0.0,0.0,12.5,5.0,36.0,1,0.0,0.0,0.0,25.0,8.0,28.8
7,ARB (Pure Charge),0.0901,0.182,1.006,5.624,0.0,0.5067,2.5,2.5,99.39,0,0.0,0.0,0.0,12.5,5.0,36.0,1,2.3,2.3,2.3,31.61,10.116,28.8
8,ARB (EV Charge Only),0.0901,0.511,1.27,3.059,0.0,0.2756,0.0,0.0,99.39,0,3.841,0.0,0.0,12.5,5.0,36.0,1,2.3,2.3,2.3,38.22,12.232,28.8
9,ARB (EV Charge Only),0.1558,1.066,2.075,1.009,0.0,0.1572,0.0,0.0,99.39,0,5.891,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,38.22,12.232,28.8
10,ARB (EV Charge Only),0.1558,1.949,3.467,6.818,0.0,1.0623,0.0,0.0,99.39,1,5.382,5.3,5.3,24.69,9.876,36.0,0,0.0,0.0,0.0,38.22,12.232,28.8
11,ARB (Mixed Charge),0.2232,3.075,3.669,0.394,0.0,0.088,-2.5,-2.5,73.62,1,0.0,0.0,0.0,24.69,9.876,36.0,1,2.3,2.3,2.3,44.84,14.348,28.8
12,ARB (Mixed Discharge),0.2232,4.057,3.58,0.0,0.677,-0.0541,-2.5,-2.5,47.84,1,0.0,0.0,0.0,24.69,9.876,36.0,1,2.3,2.3,2.3,51.45,16.464,28.8
13,ARB (EV Charge Only),0.1558,4.718,3.315,0.897,0.0,0.1397,0.0,0.0,47.84,0,0.0,0.0,0.0,24.69,9.876,36.0,1,2.3,2.3,2.3,58.06,18.58,28.8
14,ARB (Pure Charge),0.1558,5.002,2.828,0.0,1.874,-0.1499,0.319,0.3,50.75,1,0.0,0.0,0.0,24.69,9.876,36.0,0,2.3,0.0,0.0,58.06,18.58,28.8
15,ARB (EV Charge Only),0.1558,4.735,3.093,2.958,0.0,0.4609,0.0,0.0,50.75,1,4.6,4.6,4.6,35.27,14.108,36.0,0,2.3,0.0,0.0,58.06,18.58,28.8
16,ARB (EV Charge Only),0.1558,4.238,3.374,6.036,0.0,0.9404,0.0,0.0,50.75,1,4.6,4.6,4.6,45.85,18.34,36.0,1,2.3,2.3,2.3,64.68,20.696,28.8
17,ARB (EV Charge Only),0.1558,3.285,2.638,4.752,0.0,0.7404,0.0,0.0,50.75,1,3.169,3.1,3.1,52.98,21.192,36.0,1,2.3,2.3,2.3,71.29,22.812,28.8
18,ARB (EV Charge Only),0.1558,2.096,1.83,6.634,0.0,1.0336,0.0,0.0,50.75,1,6.9,6.9,6.9,68.85,27.54,36.0,0,0.0,0.0,0.0,71.29,22.812,28.8
19,ARB (Discharge),0.2232,0.89,1.313,0.0,2.077,-0.1661,-2.5,-2.5,24.98,0,0.0,0.0,0.0,68.85,27.54,36.0,0,0.0,0.0,0.0,71.29,22.812,28.8
20,ARB (Discharge),0.2232,0.182,1.088,0.0,1.494,-0.1195,-2.5,-2.4,0.24,0,0.0,0.0,0.0,68.85,27.54,36.0,0,0.0,0.0,0.0,71.29,22.812,28.8
21,IDLE,0.1558,0.02,1.123,1.103,0.0,0.1718,0.0,0.0,0.24,0,0.0,0.0,0.0,68.85,27.54,36.0,0,0.0,0.0,0.0,71.29,22.812,28.8
22,IDLE,0.1558,0.019,1.109,1.09,0.0,0.1698,0.0,0.0,0.24,0,0.0,0.0,0.0,68.85,27.54,36.0,0,0.0,0.0,0.0,71.29,22.812,28.8
23,ARB (Pure Charge),0.0901,0.021,1.153,2.732,0.0,0.2462,1.624,1.6,15.76,0,0.0,0.0,0.0,68.85,27.54,36.0,0,0.0,0.0,0.0,71.29,22.812,28.8
24,ARB (Pure Charge),0.0901,0.022,1.09,3.568,0.0,0.3215,2.5,2.5,40.01,0,0.0,0.0,0.0,68.85,27.54,36.0,0,0.0,0.0,0.0,71.29,22.812,28.8
