Hora,Modo_Operacao,Preco_Imp,PV_kW,Load_kW,Grid_Import_kW,Grid_Export_kW,Custo_Hora_Euros,Opt_BESS_kW,Setpoint_BESS_kW,SOC_BESS_%,Alpha_EV1,Opt_EV1_kW,Cmd_EV1_kW,Act_EV1_kW,SOC_EV1_%,Energy_EV1_kWh,Target_Energy_EV1_kWh,Alpha_EV2,Opt_EV2_kW,Cmd_EV2_kW,Act_EV2_kW,SOC_EV2_%,Energy_EV2_kWh,Target_Energy_EV2_kWh
1,ARB (Pure Charge),0.0901,0.02,0.955,3.435,0.0,0.3095,2.5,2.5,39.25,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,25.0,8.0,28.8
2,ARB (Pure Charge),0.0901,0.018,0.884,3.365,0.0,0.3032,2.5,2.5,63.5,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,25.0,8.0,28.8
3,ARB (Pure Charge),0.0901,0.013,0.956,3.443,0.0,0.3102,1.263,2.5,87.75,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,25.0,8.0,28.8
4,IDLE,0.0901,0.002,1.062,1.06,0.0,0.0955,0.0,0.0,87.75,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,25.0,8.0,28.8
5,IDLE,0.0901,0.0,0.986,0.985,0.0,0.0888,0.0,0.0,87.75,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,25.0,8.0,28.8
6,IDLE,0.0901,0.03,1.096,1.065,0.0,0.096,0.0,0.0,87.75,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,25.0,8.0,28.8
7,ARB (Pure Charge),0.0901,0.182,1.006,4.324,0.0,0.3896,2.5,1.2,99.39,0,0.0,0.0,0.0,12.5,5.0,36.0,1,2.3,2.3,2.3,31.61,10.116,28.8
8,ARB (EV Charge Only),0.0901,0.511,1.27,6.859,0.0,0.618,0.0,0.0,99.39,1,3.841,3.8,3.8,21.24,8.496,36.0,1,2.3,2.3,2.3,38.22,12.232,28.8
9,ARB (EV Charge Only),0.1558,1.066,2.075,6.809,0.0,1.0608,0.0,0.0,99.39,1,5.891,5.8,5.8,34.58,13.832,36.0,0,0.0,0.0,0.0,38.22,12.232,28.8
10,ARB (EV Charge Only),0.1558,1.949,3.467,6.818,0.0,1.0623,0.0,0.0,99.39,1,5.382,5.3,5.3,46.77,18.708,36.0,0,0.0,0.0,0.0,38.22,12.232,28.8
11,ARB (Mixed Charge),0.2232,3.075,3.669,0.394,0.0,0.088,-2.5,-2.5,73.62,1,0.0,0.0,0.0,46.77,18.708,36.0,1,2.3,2.3,2.3,44.84,14.348,28.8
12,ARB (Mixed Discharge),0.2232,4.057,3.58,0.0,0.677,-0.0541,-2.5,-2.5,47.84,1,0.0,0.0,0.0,46.77,18.708,36.0,1,2.3,2.3,2.3,51.45,16.464,28.8
13,ARB (EV Charge Only),0.1558,4.718,3.315,0.897,0.0,0.1397,0.0,0.0,47.84,0,0.0,0.0,0.0,46.77,18.708,36.0,1,2.3,2.3,2.3,58.06,18.58,28.8
14,ARB (Pure Charge),0.1558,5.002,2.828,2.626,0.0,0.4092,0.319,2.5,72.09,0,0.0,0.0,0.0,46.77,18.708,36.0,1,2.3,2.3,2.3,64.68,20.696,28.8
15,ARB (EV Charge Only),0.1558,4.735,3.093,6.858,0.0,1.0685,0.0,0.0,72.09,1,4.6,6.2,6.2,61.03,24.412,36.0,1,2.3,2.3,2.3,71.29,22.812,28.8
16,ARB (EV Charge Only),0.1558,4.238,3.374,6.836,0.0,1.065,0.0,0.0,72.09,1,4.6,5.4,5.4,73.45,29.38,36.0,1,2.3,2.3,2.3,77.9,24.928,28.8
17,ARB (EV Charge Only),0.1558,3.285,2.638,6.852,0.0,1.0676,0.0,0.0,72.09,1,3.169,5.2,5.2,85.41,34.164,36.0,1,2.3,2.3,2.3,84.51,27.044,28.8
18,ARB (EV Charge Only),0.1558,2.096,1.83,6.078,0.0,0.9469,0.0,0.0,72.09,1,6.9,7.1,6.343,100.0,40.0,36.0,0,0.0,0.0,0.0,84.51,27.044,28.8
19,ARB (Discharge),0.2232,0.89,1.313,0.0,2.077,-0.1661,-2.5,-2.5,46.32,0,0.0,0.0,0.0,100.0,40.0,36.0,0,0.0,0.0,0.0,84.51,27.044,28.8
20,ARB (Discharge),0.2232,0.182,1.088,0.0,1.594,-0.1275,-2.5,-2.5,20.55,0,0.0,0.0,0.0,100.0,40.0,36.0,0,0.0,0.0,0.0,84.51,27.044,28.8
21,IDLE,0.1558,0.02,1.123,1.103,0.0,0.1718,0.0,0.0,20.55,0,0.0,0.0,0.0,100.0,40.0,36.0,0,0.0,0.0,0.0,84.51,27.044,28.8
22,IDLE,0.1558,0.019,1.109,1.09,0.0,0.1698,0.0,0.0,20.55,0,0.0,0.0,0.0,100.0,40.0,36.0,0,0.0,0.0,0.0,84.51,27.044,28.8
23,ARB (Pure Charge),0.0901,0.021,1.153,3.632,0.0,0.3273,1.624,2.5,44.8,0,0.0,0.0,0.0,100.0,40.0,36.0,0,0.0,0.0,0.0,84.51,27.044,28.8
24,ARB (Pure Charge),0.0901,0.022,1.09,3.568,0.0,0.3215,2.5,2.5,69.05,0,0.0,0.0,0.0,100.0,40.0,36.0,0,0.0,0.0,0.0,84.51,27.044,28.8
