Hora,Modo_Operacao,Preco_Imp,PV_kW,Load_kW,Grid_Import_kW,Grid_Export_kW,Custo_Hora_Euros,Opt_BESS_kW,Setpoint_BESS_kW,SOC_BESS_%,Alpha_EV1,Opt_EV1_kW,Cmd_EV1_kW,Act_EV1_kW,SOC_EV1_%,Energy_EV1_kWh,Target_Energy_EV1_kWh,Alpha_EV2,Opt_EV2_kW,Cmd_EV2_kW,Act_EV2_kW,SOC_EV2_%,Energy_EV2_kWh,Target_Energy_EV2_kWh
1,IDLE,0.0901,0.008,0.955,0.947,0.0,0.0854,0.0,0.0,15.0,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,25.0,8.0,28.8
2,IDLE,0.0901,0.007,0.884,0.876,0.0,0.0789,0.0,0.0,15.0,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,25.0,8.0,28.8
3,IDLE,0.0901,0.005,0.956,0.951,0.0,0.0857,0.0,0.0,15.0,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,25.0,8.0,28.8
4,ARB (Pure Charge),0.0901,0.001,1.062,3.561,0.0,0.3209,1.263,2.5,39.25,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,25.0,8.0,28.8
5,ARB (Pure Charge),0.0901,0.0,0.986,3.485,0.0,0.314,2.5,2.5,63.5,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,25.0,8.0,28.8
6,ARB (Pure Charge),0.0901,0.012,1.096,5.883,0.0,0.5301,2.5,2.5,87.75,0,0.0,0.0,0.0,12.5,5.0,36.0,1,0.0,2.3,2.3,31.61,10.116,28.8
7,ARB (Pure Charge),0.0901,0.073,1.006,4.433,0.0,0.3994,2.5,1.2,99.39,0,0.0,0.0,0.0,12.5,5.0,36.0,1,2.3,2.3,2.3,38.22,12.232,28.8
8,ARB (Mixed Charge),0.0901,0.204,1.27,0.866,0.0,0.078,-0.759,-2.5,73.62,0,4.6,0.0,0.0,12.5,5.0,36.0,1,2.3,2.3,2.3,44.84,14.348,28.8
9,ARB (Mixed Charge),0.1558,0.427,2.075,0.049,0.0,0.0076,-1.009,-1.6,57.12,0,6.9,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,44.84,14.348,28.8
10,ARB (Mixed Charge),0.1558,0.78,3.467,6.888,0.0,1.0731,-1.518,-2.5,31.35,1,6.9,6.7,6.7,27.91,11.164,36.0,0,0.0,0.0,0.0,44.84,14.348,28.8
11,ARB (Mixed Discharge),0.2232,1.23,3.669,0.0,0.061,-0.0049,-2.5,-2.5,5.58,1,-3.912,0.0,0.0,27.91,11.164,36.0,1,2.3,0.0,0.0,44.84,14.348,28.8
12,ARB (Mixed Discharge),0.2232,1.623,3.58,1.957,0.0,0.4368,-2.5,0.0,5.58,1,0.0,0.0,0.0,27.91,11.164,36.0,1,2.3,0.0,0.0,44.84,14.348,28.8
13,ARB (Pure Charge),0.1558,1.887,3.315,6.228,0.0,0.9703,1.311,2.5,29.83,0,0.0,0.0,0.0,27.91,11.164,36.0,1,2.3,2.3,2.3,51.45,16.464,28.8
14,ARB (Pure Charge),0.1558,2.001,2.828,6.828,0.0,1.0637,2.5,0.0,29.83,1,0.0,6.0,6.0,41.71,16.684,36.0,0,2.3,0.0,0.0,51.45,16.464,28.8
15,ARB (EV Charge Only),0.1558,1.894,3.093,6.899,0.0,1.0749,0.0,0.0,29.83,1,4.6,5.7,5.7,54.82,21.928,36.0,0,2.3,0.0,0.0,51.45,16.464,28.8
16,ARB (EV Charge Only),0.1558,1.695,3.374,6.878,0.0,1.0717,0.0,0.0,29.83,1,4.6,2.9,2.9,61.49,24.596,36.0,1,2.3,2.3,2.3,58.06,18.58,28.8
17,ARB (EV Charge Only),0.1558,1.314,2.638,6.824,0.0,1.0631,0.0,0.0,29.83,1,4.6,3.2,3.2,68.85,27.54,36.0,1,2.3,2.3,2.3,64.68,20.696,28.8
18,ARB (EV Charge Only),0.1558,0.838,1.83,6.892,0.0,1.0737,0.0,0.0,29.83,1,6.9,5.9,5.9,82.42,32.968,36.0,0,0.0,0.0,0.0,64.68,20.696,28.8
19,ARB (Discharge),0.2232,0.356,1.313,0.0,1.443,-0.1154,-2.5,-2.4,5.08,0,0.0,0.0,0.0,82.42,32.968,36.0,0,0.0,0.0,0.0,64.68,20.696,28.8
20,ARB (Discharge),0.2232,0.073,1.088,1.016,0.0,0.2267,-2.5,0.0,5.08,0,0.0,0.0,0.0,82.42,32.968,36.0,0,0.0,0.0,0.0,64.68,20.696,28.8
21,IDLE,0.1558,0.008,1.123,1.115,0.0,0.1737,0.0,0.0,5.08,0,0.0,0.0,0.0,82.42,32.968,36.0,0,0.0,0.0,0.0,64.68,20.696,28.8
22,IDLE,0.1558,0.008,1.109,1.101,0.0,0.1716,0.0,0.0,5.08,0,0.0,0.0,0.0,82.42,32.968,36.0,0,0.0,0.0,0.0,64.68,20.696,28.8
23,ARB (Pure Charge),0.0901,0.008,1.153,3.645,0.0,0.3284,1.624,2.5,29.33,0,0.0,0.0,0.0,82.42,32.968,36.0,0,0.0,0.0,0.0,64.68,20.696,28.8
24,ARB (Pure Charge),0.0901,0.009,1.09,3.581,0.0,0.3226,2.5,2.5,53.58,0,0.0,0.0,0.0,82.42,32.968,36.0,0,0.0,0.0,0.0,64.68,20.696,28.8
