Hora,Modo_Operacao,PV_L1_kW,PV_L2_kW,PV_L3_kW,PV_Global_kW,Load_L1_kW,Load_L2_kW,Load_L3_kW,Load_Global_kW,Grid_Import_L1_kW,Grid_Import_L2_kW,Grid_Import_L3_kW,Grid_Import_Global_kW,Grid_Export_L1_kW,Grid_Export_L2_kW,Grid_Export_L3_kW,Grid_Export_Global_kW,Opt_BESS_kW,Setpoint_BESS_Global_kW,SOC_BESS_%,Energy_BESS_kWh,Fase_EV1,Alpha_EV1,Opt_EV1_kW,Setpoint_EV1_kW,SOC_EV1_%,Energy_EV1_kWh
1,ARB (Charge),0.02,0.02,0.02,0.06,0.955,1.061,1.168,3.184,1.335,1.442,1.548,4.325,0.0,0.0,0.0,0.0,1.263,1.2,26.64,2.664,L1,0,0.0,0.0,12.5,5.0
2,IDLE,0.018,0.018,0.018,0.055,0.884,0.982,1.08,2.945,0.865,0.963,1.062,2.89,0.0,0.0,0.0,0.0,0.0,0.0,26.64,2.664,L1,0,0.0,0.0,12.5,5.0
3,IDLE,0.013,0.013,0.013,0.038,0.956,1.062,1.168,3.186,0.943,1.049,1.156,3.148,0.0,0.0,0.0,0.0,0.0,0.0,26.64,2.664,L1,0,0.0,0.0,12.5,5.0
4,IDLE,0.002,0.002,0.002,0.005,1.062,1.18,1.298,3.539,1.06,1.178,1.296,3.534,0.0,0.0,0.0,0.0,0.0,0.0,26.64,2.664,L1,0,0.0,0.0,12.5,5.0
5,ARB (Charge),0.0,0.0,0.0,0.001,0.986,1.095,1.205,3.285,1.819,1.928,2.038,5.784,0.0,0.0,0.0,0.0,2.5,2.5,50.89,5.089,L1,0,0.0,0.0,12.5,5.0
6,IDLE,0.03,0.03,0.03,0.091,1.096,1.217,1.339,3.652,1.065,1.187,1.309,3.561,0.0,0.0,0.0,0.0,0.0,0.0,50.89,5.089,L1,0,0.0,0.0,12.5,5.0
7,ARB (Charge),0.182,0.182,0.182,0.546,1.006,1.118,1.23,3.354,1.658,1.769,1.881,5.308,0.0,0.0,0.0,0.0,2.5,2.5,75.14,7.514,L1,0,0.0,0.0,12.5,5.0
8,ARB (Charge),0.511,0.511,0.511,1.533,1.27,1.411,1.552,4.234,1.592,1.733,1.875,5.2,0.0,0.0,0.0,0.0,2.5,2.5,99.39,9.939,L1,0,0.0,0.0,12.5,5.0
9,SC (Discharge),1.066,1.066,1.066,3.199,2.075,2.306,2.537,6.918,0.176,0.406,0.637,1.219,0.0,0.0,0.0,0.0,-2.5,-2.5,73.62,7.362,L1,0,0.0,0.0,12.5,5.0
10,SC (Discharge),1.949,1.949,1.949,5.847,3.467,3.852,4.238,11.557,0.685,1.07,1.455,3.21,0.0,0.0,0.0,0.0,-2.5,-2.5,47.84,4.784,L1,0,0.0,0.0,12.5,5.0
11,ARB (Discharge),3.075,3.075,3.075,9.225,3.669,4.077,4.485,12.231,0.0,0.169,0.576,0.745,0.239,0.0,0.0,0.239,-2.5,-2.5,22.07,2.207,L1,0,0.0,0.0,12.5,5.0
12,ARB (Discharge),4.057,4.057,4.057,12.17,3.58,3.978,4.375,11.933,0.0,0.0,0.019,0.019,0.777,0.379,0.0,1.156,-0.956,-0.9,12.79,1.279,L1,0,0.0,0.0,12.5,5.0
13,ARB (Charge),4.718,4.718,4.718,14.155,3.315,3.683,4.052,11.05,0.0,0.0,0.067,0.067,0.67,0.302,0.0,0.972,2.276,2.2,34.13,3.413,L1,0,0.0,0.0,12.5,5.0
14,SC (Charge),5.002,5.002,5.002,15.007,2.828,3.143,3.457,9.428,0.0,0.0,0.0,0.0,1.341,1.026,0.712,3.079,2.5,2.5,58.38,5.838,L1,0,0.0,0.0,12.5,5.0
