Hora,Modo_Operacao,PV_L1_kW,PV_L2_kW,PV_L3_kW,PV_Global_kW,Load_L1_kW,Load_L2_kW,Load_L3_kW,Load_Global_kW,Grid_Import_L1_kW,Grid_Import_L2_kW,Grid_Import_L3_kW,Grid_Import_Global_kW,Grid_Export_L1_kW,Grid_Export_L2_kW,Grid_Export_L3_kW,Grid_Export_Global_kW,Opt_BESS_kW,Setpoint_BESS_Global_kW,SOC_BESS_%,Energy_BESS_kWh,Fase_EV1,Alpha_EV1,Opt_EV1_kW,Setpoint_EV1_kW,SOC_EV1_%,Energy_EV1_kWh
1,ARB (Charge),0.008,0.008,0.008,0.024,0.955,1.061,1.168,3.184,1.347,1.454,1.56,4.361,0,0,0,0,1.263,1.2,26.64,2.664,L1,0,0,0,12.5,5
2,IDLE,0.007,0.007,0.007,0.022,0.884,0.982,1.08,2.945,0.876,0.974,1.073,2.923,0,0,0,0,0,0,26.64,2.664,L1,0,0,0,12.5,5
3,IDLE,0.005,0.005,0.005,0.015,0.956,1.062,1.168,3.186,0.951,1.057,1.163,3.171,0,0,0,0,0,0,26.64,2.664,L1,0,0,0,12.5,5
4,IDLE,0.001,0.001,0.001,0.002,1.062,1.18,1.298,3.539,1.061,1.179,1.297,3.537,0,0,0,0,0,0,26.64,2.664,L1,0,0,0,12.5,5
5,ARB (Charge),0,0,0,0,0.986,1.095,1.205,3.285,1.819,1.928,2.038,5.785,0,0,0,0,2.5,2.5,50.89,5.089,L1,0,0,0,12.5,5
6,IDLE,0.012,0.012,0.012,0.036,1.096,1.217,1.339,3.652,1.083,1.205,1.327,3.616,0,0,0,0,0,0,50.89,5.089,L1,0,0,0,12.5,5
7,ARB (Charge),0.073,0.073,0.073,0.218,1.006,1.118,1.23,3.354,1.767,1.878,1.99,5.635,0,0,0,0,2.5,2.5,75.14,7.514,L1,0,0,0,12.5,5
8,ARB (Charge),0.204,0.204,0.204,0.613,1.27,1.411,1.552,4.234,1.899,2.04,2.181,6.12,0,0,0,0,2.5,2.5,99.39,9.939,L1,0,0,0,12.5,5
9,SC (Discharge),0.427,0.427,0.427,1.28,2.075,2.306,2.537,6.918,0.816,1.046,1.277,3.138,0,0,0,0,-2.5,-2.5,73.62,7.362,L1,0,0,0,12.5,5
10,SC (Discharge),0.78,0.78,0.78,2.339,3.467,3.852,4.238,11.557,1.854,2.239,2.625,6.718,0,0,0,0,-2.5,-2.5,47.84,4.784,L1,0,0,0,12.5,5
11,ARB (Discharge),1.23,1.23,1.23,3.69,3.669,4.077,4.485,12.231,1.606,2.014,2.421,6.041,0,0,0,0,-2.5,-2.5,22.07,2.207,L1,0,0,0,12.5,5
12,ARB (Discharge),1.623,1.623,1.623,4.868,3.58,3.978,4.375,11.933,1.657,2.055,2.453,6.165,0,0,0,0,-0.956,-0.9,12.79,1.279,L1,0,0,0,12.5,5
13,ARB (Charge),1.887,1.887,1.887,5.662,3.315,3.683,4.052,11.05,2.161,2.529,2.898,7.588,0,0,0,0,2.276,2.2,34.13,3.413,L1,0,0,0,12.5,5
14,SC (Charge),2.001,2.001,2.001,6.003,2.828,3.143,3.457,9.428,0.828,1.142,1.456,3.425,0,0,0,0,2.5,0,34.13,3.413,L1,0,0,0,12.5,5
15,SC (Charge),1.894,1.894,1.894,5.682,3.093,3.437,3.781,10.311,1.199,1.543,1.887,4.629,0,0,0,0,2.5,0,34.13,3.413,L1,0,0,0,12.5,5
16,ARB (Charge),1.695,1.695,1.695,5.086,3.374,3.748,4.123,11.245,2.145,2.52,2.895,7.56,0,0,0,0,1.469,1.4,47.71,4.771,L1,0,0,0,12.5,5
17,SC (Charge),1.314,1.314,1.314,3.943,2.638,2.931,3.224,8.793,1.324,1.617,1.91,4.85,0,0,0,0,0.184,0,47.71,4.771,L1,0,0,0,12.5,5
18,IDLE,0.838,0.838,0.838,2.515,1.83,2.033,2.237,6.1,0.992,1.195,1.398,3.585,0,0,0,0,0,0,47.71,4.771,L1,0,0,0,12.5,5
19,ARB (Discharge),0.356,0.356,0.356,1.068,1.313,1.459,1.605,4.377,0.257,0.403,0.549,1.209,0,0,0,0,-2.145,-2.1,26.06,2.606,L1,0,0,0,12.5,5
20,SC (Discharge),0.073,0.073,0.073,0.218,1.088,1.209,1.33,3.628,0.349,0.47,0.591,1.409,0,0,0,0,-2.5,-2,5.44,0.544,L1,0,0,0,12.5,5
21,SC (Discharge),0.008,0.008,0.008,0.023,1.123,1.247,1.372,3.742,1.115,1.239,1.364,3.718,0,0,0,0,-2.5,0,5.44,0.544,L1,0,0,0,12.5,5
22,SC (Discharge),0.008,0.008,0.008,0.023,1.109,1.232,1.355,3.696,1.101,1.224,1.348,3.673,0,0,0,0,-2.5,0,5.44,0.544,L1,0,0,0,12.5,5
23,ARB (Charge),0.008,0.008,0.008,0.025,1.153,1.281,1.41,3.844,1.978,2.106,2.234,6.319,0,0,0,0,2.5,2.5,29.69,2.969,L1,0,0,0,12.5,5
24,ARB (Charge),0.009,0.009,0.009,0.026,1.09,1.211,1.332,3.632,1.614,1.735,1.856,5.206,0,0,0,0,1.624,1.6,45.21,4.521,L1,0,0,0,12.5,5
