Hora,Modo_Operacao,PV_kW,Load_kW,Grid_Import_kW,Grid_Export_kW,Custo_Hora_Euros,Opt_BESS_kW,Setpoint_BESS_kW,SOC_BESS_%,Alpha_EV1,Opt_EV1_kW,Cmd_EV1_kW,Act_EV1_kW,SOC_EV1_%,Energy_EV1_kWh,Target_Energy_EV1_kWh,Alpha_EV2,Opt_EV2_kW,Cmd_EV2_kW,Act_EV2_kW,SOC_EV2_%,Energy_EV2_kWh,Target_Energy_EV2_kWh
1,ARB (Pure Charge),0.02,0.955,3.435,0.0,0.3095,2.5,2.5,39.25,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,12.5,5.0,36.0
2,ARB (Pure Charge),0.018,0.884,3.365,0.0,0.3032,2.5,2.5,63.5,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,12.5,5.0,36.0
3,IDLE,0.013,0.956,0.943,0.0,0.085,0.0,0.0,63.5,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,12.5,5.0,36.0
4,IDLE,0.002,1.062,1.06,0.0,0.0955,0.0,0.0,63.5,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,12.5,5.0,36.0
5,IDLE,0.0,0.986,0.985,0.0,0.0888,0.0,0.0,63.5,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,12.5,5.0,36.0
6,ARB (Pure Charge),0.03,1.096,3.565,0.0,0.3212,1.263,2.5,87.75,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,12.5,5.0,36.0
7,ARB (Pure Charge),0.182,1.006,2.024,0.0,0.1824,2.5,1.2,99.39,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,12.5,5.0,36.0
8,ARB (Mixed Charge),0.511,1.27,6.859,0.0,0.618,-0.759,-2.5,73.62,1,3.3,5.0,5.0,24.0,9.6,36.0,1,3.6,3.6,3.6,20.78,8.312,36.0
9,ARB (Mixed Charge),1.066,2.075,6.809,0.0,1.0608,-1.441,-2.5,47.84,1,3.3,4.7,4.7,34.81,13.924,36.0,1,3.6,3.6,3.6,29.06,11.624,36.0
10,ARB (Mixed Charge),1.949,3.467,6.818,0.0,1.0623,-2.5,-2.5,22.07,1,3.3,4.2,4.2,44.47,17.788,36.0,1,3.6,3.6,3.6,37.34,14.936,36.0
11,ARB (Mixed Charge),3.075,3.669,6.894,0.0,1.5388,-2.5,-1.6,5.58,1,3.3,4.3,4.3,54.36,21.744,36.0,1,3.6,3.6,3.6,45.62,18.248,36.0
12,ARB (Mixed Charge),4.057,3.58,6.823,0.0,1.5229,-2.5,0.0,5.58,1,3.3,3.7,3.7,62.87,25.148,36.0,1,3.6,3.6,3.6,53.9,21.56,36.0
13,SC (Charge),4.718,3.315,0.0,0.003,-0.0003,1.403,1.4,19.16,0,0.0,0.0,0.0,62.87,25.148,36.0,0,0.0,0.0,0.0,53.9,21.56,36.0
14,SC (Charge),5.002,2.828,0.0,0.074,-0.0059,2.174,2.1,39.53,0,0.0,0.0,0.0,62.87,25.148,36.0,0,0.0,0.0,0.0,53.9,21.56,36.0
15,ARB (EV Charge Only),4.735,3.093,6.858,0.0,1.0685,0.0,0.0,39.53,1,3.3,4.9,4.9,74.14,29.656,36.0,1,3.6,3.6,3.6,62.18,24.872,36.0
16,ARB (Mixed Charge),4.238,3.374,6.836,0.0,1.065,-2.036,-2.5,13.75,1,3.3,6.6,6.6,89.32,35.728,36.0,1,3.6,3.6,3.6,70.46,28.184,36.0
17,ARB (EV Charge Only),3.285,2.638,6.852,0.0,1.0676,0.0,0.0,13.75,1,3.3,3.9,3.9,98.29,39.316,36.0,1,3.6,3.6,3.6,78.74,31.496,36.0
18,ARB (EV Charge Only),2.096,1.83,4.078,0.0,0.6353,0.0,0.0,13.75,1,3.3,3.5,0.743,100.0,40.0,36.0,1,3.6,3.6,3.6,87.02,34.808,36.0
19,SC (Discharge),0.89,1.313,0.023,0.0,0.0052,-0.423,-0.4,9.63,0,0.0,0.0,0.0,100.0,40.0,36.0,0,0.0,0.0,0.0,87.02,34.808,36.0
20,SC (Discharge),0.182,1.088,0.506,0.0,0.113,-0.906,-0.4,5.5,0,0.0,0.0,0.0,100.0,40.0,36.0,0,0.0,0.0,0.0,87.02,34.808,36.0
21,IDLE,0.02,1.123,1.103,0.0,0.1718,0.0,0.0,5.5,0,0.0,0.0,0.0,100.0,40.0,36.0,0,0.0,0.0,0.0,87.02,34.808,36.0
22,IDLE,0.019,1.109,1.09,0.0,0.1698,0.0,0.0,5.5,0,0.0,0.0,0.0,100.0,40.0,36.0,0,0.0,0.0,0.0,87.02,34.808,36.0
23,ARB (Pure Charge),0.021,1.153,3.632,0.0,0.3273,1.624,2.5,29.75,0,0.0,0.0,0.0,100.0,40.0,36.0,0,0.0,0.0,0.0,87.02,34.808,36.0
24,ARB (Pure Charge),0.022,1.09,3.568,0.0,0.3215,2.5,2.5,54.0,0,0.0,0.0,0.0,100.0,40.0,36.0,0,0.0,0.0,0.0,87.02,34.808,36.0
