Hora,Modo_Operacao,PV_kW,Load_kW,Grid_Import_kW,Grid_Export_kW,Custo_Hora_Euros,Opt_BESS_kW,Setpoint_BESS_kW,SOC_BESS_%,Alpha_EV1,Opt_EV1_kW,Cmd_EV1_kW,Act_EV1_kW,SOC_EV1_%,Energy_EV1_kWh,Target_Energy_EV1_kWh
1,ARB (Pure Charge),0.02,0.955,3.435,0.0,0.3095,2.5,2.5,39.25,0,0.0,0.0,0.0,12.5,5.0,36.0
2,ARB (Discharge),0.018,0.884,0.0,1.635,-0.327,-2.5,-2.5,13.48,0,0.0,0.0,0.0,12.5,5.0,36.0
3,ARB (Pure Charge),0.013,0.956,3.443,0.0,0.3102,2.5,2.5,37.73,0,0.0,0.0,0.0,12.5,5.0,36.0
4,ARB (Pure Charge),0.002,1.062,3.56,0.0,0.3208,2.5,2.5,61.98,0,0.0,0.0,0.0,12.5,5.0,36.0
5,ARB (Discharge),0.0,0.986,0.0,6.115,-1.223,-2.5,-2.5,36.2,1,0.0,-5.3,-4.6,0.0,0.0,36.0
6,ARB (Pure Charge),0.03,1.096,6.865,0.0,0.6186,2.5,0.0,36.2,1,0.0,5.8,5.8,13.34,5.336,36.0
7,ARB (Pure Charge),0.182,1.006,6.824,0.0,0.6149,2.5,0.0,36.2,1,0.0,6.0,6.0,27.14,10.856,36.0
8,ARB (EV Charge Only),0.511,1.27,6.859,0.0,0.618,0.0,0.0,36.2,1,6.141,6.1,6.1,41.17,16.468,36.0
9,ARB (EV Charge Only),1.066,2.075,6.809,0.0,1.0608,0.0,0.0,36.2,1,5.891,5.8,5.8,54.51,21.804,36.0
10,ARB (Pure Charge),1.949,3.467,6.818,0.0,1.0623,1.577,0.0,36.2,1,3.805,5.3,5.3,66.7,26.68,36.0
11,ARB (Discharge),3.075,3.669,0.0,1.906,-0.3811,-2.5,-2.5,10.43,0,-1.585,0.0,0.0,66.7,26.68,36.0
12,ARB (Discharge),4.057,3.58,0.0,6.877,-1.3754,-2.2,-0.5,5.28,1,-4.223,-5.9,-5.9,50.67,20.267,36.0
13,ARB (Discharge),4.718,3.315,0.0,6.803,-1.3607,-2.5,0.0,5.28,1,0.0,-5.4,-5.4,35.99,14.397,36.0
14,ARB (Discharge),5.002,2.828,0.0,2.174,-0.4348,-2.5,0.0,5.28,0,0.0,0.0,0.0,35.99,14.397,36.0
15,ARB (Pure Charge),4.735,3.093,0.858,0.0,0.1337,1.642,2.5,29.53,0,6.9,0.0,0.0,35.99,14.397,36.0
16,ARB (Pure Charge),4.238,3.374,1.636,0.0,0.2548,0.864,2.5,53.78,0,6.9,0.0,0.0,35.99,14.397,36.0
17,ARB (Pure Charge),3.285,2.638,1.852,0.0,0.2886,2.5,2.5,78.03,0,5.048,0.0,0.0,35.99,14.397,36.0
18,ARB (Pure Charge),2.096,1.83,1.934,0.0,0.3014,0.465,2.2,99.37,0,6.701,0.0,0.0,35.99,14.397,36.0
19,ARB (Discharge),0.89,1.313,0.0,2.077,-0.4153,-2.5,-2.5,73.59,0,0.0,0.0,0.0,35.99,14.397,36.0
20,ARB (Discharge),0.182,1.088,0.0,1.594,-0.3187,-2.5,-2.5,47.82,0,0.0,0.0,0.0,35.99,14.397,36.0
21,ARB (Pure Charge),0.02,1.123,3.603,0.0,0.5613,2.5,2.5,72.07,0,0.0,0.0,0.0,35.99,14.397,36.0
22,ARB (Discharge),0.019,1.109,0.0,1.41,-0.282,-2.5,-2.5,46.3,0,0.0,0.0,0.0,35.99,14.397,36.0
23,ARB (Pure Charge),0.021,1.153,3.632,0.0,0.3273,1.624,2.5,70.55,0,0.0,0.0,0.0,35.99,14.397,36.0
24,ARB (Pure Charge),0.022,1.09,3.568,0.0,0.3215,2.5,2.5,94.8,0,0.0,0.0,0.0,35.99,14.397,36.0
