Hora,Modo_Operacao
1,ARB (Pure Charge)
2,ARB (Discharge)
3,ARB (Pure Charge)
4,ARB (Pure Charge)
5,ARB (Discharge)
6,ARB (Pure Charge)
7,ARB (Pure Charge)
8,ARB (EV Charge Only)
9,ARB (EV Charge Only)
10,ARB (Pure Charge)
11,ARB (Discharge)
12,ARB (Discharge)
13,ARB (Discharge)
14,ARB (Discharge)
15,ARB (Pure Charge)
16,ARB (Pure Charge)
17,ARB (Pure Charge)
18,ARB (Pure Charge)
19,ARB (Discharge)
20,ARB (Discharge)
21,ARB (Pure Charge)
22,ARB (Discharge)
23,ARB (Pure Charge)
24,ARB (Pure Charge)
