Hora,Modo_Operacao,PV_kW,Load_kW,Grid_Import_kW,Grid_Export_kW,Custo_Hora_Euros,Opt_BESS_kW,Setpoint_BESS_kW,SOC_BESS_%,Alpha_EV1,Opt_EV1_kW,Cmd_EV1_kW,Act_EV1_kW,SOC_EV1_%,Energy_EV1_kWh,Target_Energy_EV1_kWh
1,ARB (Pure Charge),0.008,0.955,3.447,0.0,0.3106,2.5,2.5,39.25,0,0.0,0.0,0.0,12.5,5.0,36.0
2,ARB (Discharge),0.007,0.884,0.0,1.624,-0.3248,-2.5,-2.5,13.48,0,0.0,0.0,0.0,12.5,5.0,36.0
3,ARB (Pure Charge),0.005,0.956,3.451,0.0,0.3109,2.5,2.5,37.73,0,0.0,0.0,0.0,12.5,5.0,36.0
4,ARB (Pure Charge),0.001,1.062,3.561,0.0,0.3209,2.5,2.5,61.98,0,0.0,0.0,0.0,12.5,5.0,36.0
5,ARB (Discharge),0.0,0.986,0.0,6.115,-1.2229,-2.5,-2.5,36.2,1,0.0,-5.3,-4.6,0.0,0.0,36.0
6,ARB (Pure Charge),0.012,1.096,6.883,0.0,0.6202,2.5,0.0,36.2,1,0.0,5.8,5.8,13.34,5.336,36.0
7,ARB (Pure Charge),0.073,1.006,6.833,0.0,0.6157,2.5,0.0,36.2,1,0.0,5.9,5.9,26.91,10.764,36.0
8,ARB (EV Charge Only),0.204,1.27,6.866,0.0,0.6186,0.0,0.0,36.2,1,6.141,5.8,5.8,40.25,16.1,36.0
9,ARB (EV Charge Only),0.427,2.075,6.849,0.0,1.0671,0.0,0.0,36.2,1,5.891,5.2,5.2,52.21,20.884,36.0
10,ARB (Pure Charge),0.78,3.467,6.888,0.0,1.0731,1.577,0.0,36.2,1,3.805,4.2,4.2,61.87,24.748,36.0
11,ARB (Discharge),1.23,3.669,0.0,0.061,-0.0122,-2.5,-2.5,10.43,0,-1.585,0.0,0.0,61.87,24.748,36.0
12,ARB (Discharge),1.623,3.58,0.0,6.843,-1.3686,-2.2,-0.5,5.28,1,-4.223,-8.3,-8.3,39.32,15.726,36.0
13,ARB (Discharge),1.887,3.315,0.0,6.872,-1.3745,-2.5,0.0,5.28,1,0.0,-8.3,-8.3,16.76,6.705,36.0
14,ARB (Discharge),2.001,2.828,0.828,0.0,0.1289,-2.5,0.0,5.28,0,0.0,0.0,0.0,16.76,6.705,36.0
15,ARB (Pure Charge),1.894,3.093,3.699,0.0,0.5764,1.642,2.5,29.53,0,6.9,0.0,0.0,16.76,6.705,36.0
16,ARB (Pure Charge),1.695,3.374,4.178,0.0,0.651,0.864,2.5,53.78,0,6.9,0.0,0.0,16.76,6.705,36.0
17,ARB (Pure Charge),1.314,2.638,3.824,0.0,0.5957,2.5,2.5,78.03,0,5.048,0.0,0.0,16.76,6.705,36.0
18,ARB (Pure Charge),0.838,1.83,3.192,0.0,0.4973,0.465,2.2,99.37,0,6.701,0.0,0.0,16.76,6.705,36.0
19,ARB (Discharge),0.356,1.313,0.0,1.543,-0.3086,-2.5,-2.5,73.59,0,0.0,0.0,0.0,16.76,6.705,36.0
20,ARB (Discharge),0.073,1.088,0.0,1.484,-0.2969,-2.5,-2.5,47.82,0,0.0,0.0,0.0,16.76,6.705,36.0
21,ARB (Pure Charge),0.008,1.123,3.615,0.0,0.5632,2.5,2.5,72.07,0,0.0,0.0,0.0,16.76,6.705,36.0
22,ARB (Discharge),0.008,1.109,0.0,1.399,-0.2797,-2.5,-2.5,46.3,0,0.0,0.0,0.0,16.76,6.705,36.0
23,ARB (Pure Charge),0.008,1.153,3.645,0.0,0.3284,1.624,2.5,70.55,0,0.0,0.0,0.0,16.76,6.705,36.0
24,ARB (Pure Charge),0.009,1.09,3.581,0.0,0.3226,2.5,2.5,94.8,0,0.0,0.0,0.0,16.76,6.705,36.0
