Hora,Modo_Operacao,PV_kW,Load_kW,Grid_Import_kW,Grid_Export_kW,Custo_Hora_Euros,Opt_BESS_kW,Setpoint_BESS_kW,SOC_BESS_%,Alpha_EV1,Opt_EV1_kW,Cmd_EV1_kW,Act_EV1_kW,SOC_EV1_%,Energy_EV1_kWh,Target_Energy_EV1_kWh
1,ARB (Pure Charge),0.008,0.955,3.447,0.0,0.3106,2.5,2.5,39.25,0,0.0,0.0,0.0,12.5,5.0,36.0
2,ARB (Discharge),0.007,0.884,0.0,1.624,-0.3248,-2.5,-2.5,13.48,0,0.0,0.0,0.0,12.5,5.0,36.0
3,ARB (Pure Charge),0.005,0.956,3.451,0.0,0.3109,2.5,2.5,37.73,0,0.0,0.0,0.0,12.5,5.0,36.0
4,ARB (Pure Charge),0.001,1.062,3.561,0.0,0.3209,2.5,2.5,61.98,0,0.0,0.0,0.0,12.5,5.0,36.0
5,ARB (Discharge),0.0,0.986,0.0,1.515,-0.3029,-2.5,-2.5,36.2,0,0.0,0.0,0.0,12.5,5.0,36.0
6,ARB (Pure Charge),0.012,1.096,3.583,0.0,0.3229,2.5,2.5,60.45,0,0.0,0.0,0.0,12.5,5.0,36.0
7,ARB (Pure Charge),0.073,1.006,3.433,0.0,0.3093,2.5,2.5,84.7,0,0.0,0.0,0.0,12.5,5.0,36.0
8,ARB (EV Charge Only),0.204,1.27,6.866,0.0,0.6186,0.0,0.0,84.7,1,6.141,5.8,5.8,25.84,10.336,36.0
9,ARB (EV Charge Only),0.427,2.075,6.849,0.0,1.0671,0.0,0.0,84.7,1,5.891,5.2,5.2,37.8,15.12,36.0
10,ARB (Pure Charge),0.78,3.467,6.888,0.0,1.0731,1.577,0.0,84.7,1,3.805,4.2,4.2,47.46,18.984,36.0
11,ARB (Discharge),1.23,3.669,0.0,6.861,-1.3722,-2.5,-2.5,58.93,1,-1.585,-6.8,-6.8,28.98,11.593,36.0
12,ARB (Discharge),1.623,3.58,0.0,6.843,-1.3686,-2.2,-2.5,33.16,1,-4.223,-6.3,-6.3,11.86,4.745,36.0
13,ARB (Discharge),1.887,3.315,0.0,1.072,-0.2145,-2.5,-2.5,7.38,0,0.0,0.0,0.0,11.86,4.745,36.0
14,ARB (Discharge),2.001,2.828,0.628,0.0,0.0978,-2.5,-0.2,5.32,0,0.0,0.0,0.0,11.86,4.745,36.0
15,ARB (Pure Charge),1.894,3.093,6.899,0.0,1.0749,1.642,0.0,5.32,1,6.9,5.7,5.7,24.97,9.989,36.0
16,ARB (Pure Charge),1.695,3.374,6.878,0.0,1.0717,0.864,0.0,5.32,1,6.9,5.2,5.2,36.93,14.773,36.0
17,ARB (Pure Charge),1.314,2.638,6.824,0.0,1.0631,2.5,0.0,5.32,1,5.048,5.5,5.5,49.58,19.833,36.0
18,ARB (Pure Charge),0.838,1.83,6.892,0.0,1.0737,0.465,0.0,5.32,1,6.701,5.9,5.9,63.15,25.261,36.0
19,ARB (Discharge),0.356,1.313,0.957,0.0,0.2137,-2.5,0.0,5.32,0,0.0,0.0,0.0,63.15,25.261,36.0
20,ARB (Discharge),0.073,1.088,1.016,0.0,0.2267,-2.5,0.0,5.32,0,0.0,0.0,0.0,63.15,25.261,36.0
21,ARB (Pure Charge),0.008,1.123,3.615,0.0,0.5632,2.5,2.5,29.57,0,0.0,0.0,0.0,63.15,25.261,36.0
22,ARB (Discharge),0.008,1.109,0.0,1.199,-0.2397,-2.5,-2.3,5.86,0,0.0,0.0,0.0,63.15,25.261,36.0
23,ARB (Pure Charge),0.008,1.153,3.645,0.0,0.3284,1.624,2.5,30.11,0,0.0,0.0,0.0,63.15,25.261,36.0
24,ARB (Pure Charge),0.009,1.09,3.581,0.0,0.3226,2.5,2.5,54.36,0,0.0,0.0,0.0,63.15,25.261,36.0
