Hora,Modo_Operacao,PV_kW,Load_kW,Grid_Import_kW,Grid_Export_kW,Custo_Hora_Euros,Opt_BESS_kW,Setpoint_BESS_kW,SOC_BESS_%,Alpha_EV1,Opt_EV1_kW,Cmd_EV1_kW,Act_EV1_kW,SOC_EV1_%,Energy_EV1_kWh,Target_Energy_EV1_kWh
1,ARB (Pure Charge),0.02,0.955,3.435,0.0,0.3095,2.5,2.5,39.25,0,0.0,0.0,0.0,12.5,5.0,36.0
2,ARB (Discharge),0.018,0.884,0.0,1.635,-0.327,-2.5,-2.5,13.48,0,0.0,0.0,0.0,12.5,5.0,36.0
3,ARB (Pure Charge),0.013,0.956,3.443,0.0,0.3102,2.5,2.5,37.73,0,0.0,0.0,0.0,12.5,5.0,36.0
4,ARB (Pure Charge),0.002,1.062,3.56,0.0,0.3208,2.5,2.5,61.98,0,0.0,0.0,0.0,12.5,5.0,36.0
5,ARB (Discharge),0.0,0.986,0.0,1.515,-0.303,-2.5,-2.5,36.2,0,0.0,0.0,0.0,12.5,5.0,36.0
6,ARB (Pure Charge),0.03,1.096,3.565,0.0,0.3212,2.5,2.5,60.45,0,0.0,0.0,0.0,12.5,5.0,36.0
7,ARB (Pure Charge),0.182,1.006,3.324,0.0,0.2995,2.5,2.5,84.7,0,0.0,0.0,0.0,12.5,5.0,36.0
8,ARB (EV Charge Only),0.511,1.27,6.859,0.0,0.618,0.0,0.0,84.7,1,6.141,6.1,6.1,26.53,10.612,36.0
9,ARB (EV Charge Only),1.066,2.075,6.809,0.0,1.0608,0.0,0.0,84.7,1,5.891,5.8,5.8,39.87,15.948,36.0
10,ARB (Pure Charge),1.949,3.467,6.818,0.0,1.0623,1.577,0.0,84.7,1,3.805,5.3,5.3,52.06,20.824,36.0
11,ARB (Discharge),3.075,3.669,0.0,6.806,-1.3611,-2.5,-2.5,58.93,1,-1.585,-4.9,-4.9,38.74,15.498,36.0
12,ARB (Discharge),4.057,3.58,0.0,6.877,-1.3754,-2.2,-2.5,33.16,1,-4.223,-3.9,-3.9,28.15,11.259,36.0
13,ARB (Discharge),4.718,3.315,0.0,3.903,-0.7807,-2.5,-2.5,7.38,0,0.0,0.0,0.0,28.15,11.259,36.0
14,ARB (Discharge),5.002,2.828,0.0,2.374,-0.4748,-2.5,-0.2,5.32,0,0.0,0.0,0.0,28.15,11.259,36.0
15,ARB (Pure Charge),4.735,3.093,6.858,0.0,1.0685,1.642,0.0,5.32,1,6.9,8.5,8.5,47.7,19.079,36.0
16,ARB (Pure Charge),4.238,3.374,6.836,0.0,1.065,0.864,0.0,5.32,1,6.9,7.7,7.7,65.41,26.163,36.0
17,ARB (Pure Charge),3.285,2.638,6.852,0.0,1.0676,2.5,0.0,5.32,1,5.048,7.5,7.5,82.66,33.063,36.0
18,ARB (Pure Charge),2.096,1.83,6.834,0.0,1.0648,0.465,0.0,5.32,1,6.701,7.1,7.1,98.99,39.595,36.0
19,ARB (Discharge),0.89,1.313,0.423,0.0,0.0945,-2.5,0.0,5.32,0,0.0,0.0,0.0,98.99,39.595,36.0
20,ARB (Discharge),0.182,1.088,0.906,0.0,0.2023,-2.5,0.0,5.32,0,0.0,0.0,0.0,98.99,39.595,36.0
21,ARB (Pure Charge),0.02,1.123,3.603,0.0,0.5613,2.5,2.5,29.57,0,0.0,0.0,0.0,98.99,39.595,36.0
22,ARB (Discharge),0.019,1.109,0.0,1.21,-0.242,-2.5,-2.3,5.86,0,0.0,0.0,0.0,98.99,39.595,36.0
23,ARB (Pure Charge),0.021,1.153,3.632,0.0,0.3273,1.624,2.5,30.11,0,0.0,0.0,0.0,98.99,39.595,36.0
24,ARB (Pure Charge),0.022,1.09,3.568,0.0,0.3215,2.5,2.5,54.36,0,0.0,0.0,0.0,98.99,39.595,36.0
