Hora,Modo_Operacao,PV_kW,Load_kW,Grid_Import_kW,Grid_Export_kW,Custo_Hora_Euros,Opt_BESS_kW,Setpoint_BESS_kW,SOC_BESS_%,Alpha_EV1,Opt_EV1_kW,Cmd_EV1_kW,Act_EV1_kW,SOC_EV1_%,Energy_EV1_kWh,Target_Energy_EV1_kWh
1,IDLE,0.02,0.955,0.935,0.0,0.0843,0.0,0.0,15.0,0,0.0,0.0,0.0,12.5,5.0,36.0
2,ARB (Pure Charge),0.018,0.884,3.365,0.0,0.3032,1.263,2.5,39.25,0,0.0,0.0,0.0,12.5,5.0,36.0
3,ARB (Pure Charge),0.013,0.956,3.443,0.0,0.3102,2.5,2.5,63.5,0,0.0,0.0,0.0,12.5,5.0,36.0
4,IDLE,0.002,1.062,1.06,0.0,0.0955,0.0,0.0,63.5,0,0.0,0.0,0.0,12.5,5.0,36.0
5,ARB (Pure Charge),0.0,0.986,6.885,0.0,0.6204,2.5,0.0,63.5,1,0.0,5.9,5.9,26.07,10.428,36.0
6,ARB (Pure Charge),0.03,1.096,6.865,0.0,0.6186,2.5,0.0,63.5,1,0.0,5.8,5.8,39.41,15.764,36.0
7,IDLE,0.182,1.006,6.824,0.0,0.6149,0.0,0.0,63.5,1,0.0,6.0,6.0,53.21,21.284,36.0
8,ARB (EV Charge Only),0.511,1.27,6.859,0.0,0.618,0.0,0.0,63.5,1,6.141,6.1,6.1,67.24,26.896,36.0
9,ARB (Mixed Charge),1.066,2.075,4.309,0.0,0.6713,-2.5,-2.5,37.73,1,4.565,5.8,5.8,80.58,32.232,36.0
10,ARB (Mixed Charge),1.949,3.467,4.318,0.0,0.6728,-2.5,-2.5,11.95,1,6.9,5.3,5.3,92.77,37.108,36.0
11,SC (Discharge),3.075,3.669,0.094,0.0,0.021,-0.594,-0.5,6.8,0,0.0,0.0,0.0,92.77,37.108,36.0
12,SC (Discharge),4.057,3.58,0.0,0.477,-0.0381,-2.5,0.0,6.8,1,2.977,0.0,0.0,92.77,37.108,36.0
13,SC (Charge),4.718,3.315,0.0,0.003,-0.0003,1.403,0.0,6.8,1,0.0,1.4,1.4,95.99,38.396,36.0
14,SC (Charge),5.002,2.828,0.0,0.074,-0.0059,2.174,2.1,27.17,0,0.0,0.0,0.0,95.99,38.396,36.0
15,ARB (Mixed Charge),4.735,3.093,0.0,3.742,-0.2993,-2.5,-2.1,5.52,0,6.9,0.0,0.0,95.99,38.396,36.0
16,ARB (Mixed Charge),4.238,3.374,0.0,0.864,-0.0691,-0.052,0.0,5.52,0,2.3,0.0,0.0,95.99,38.396,36.0
17,ARB (EV Charge Only),3.285,2.638,0.0,0.648,-0.0518,0.0,0.0,5.52,0,2.3,0.0,0.0,95.99,38.396,36.0
18,ARB (EV Charge Only),2.096,1.83,0.0,0.266,-0.0213,0.0,0.0,5.52,0,2.3,0.0,0.0,95.99,38.396,36.0
19,SC (Discharge),0.89,1.313,0.423,0.0,0.0945,-0.423,0.0,5.52,0,0.0,0.0,0.0,95.99,38.396,36.0
20,SC (Discharge),0.182,1.088,0.906,0.0,0.2023,-0.906,0.0,5.52,0,0.0,0.0,0.0,95.99,38.396,36.0
21,IDLE,0.02,1.123,1.103,0.0,0.1718,0.0,0.0,5.52,0,0.0,0.0,0.0,95.99,38.396,36.0
22,SC (Discharge),0.019,1.109,1.09,0.0,0.1698,-1.09,0.0,5.52,0,0.0,0.0,0.0,95.99,38.396,36.0
23,ARB (Pure Charge),0.021,1.153,3.632,0.0,0.3273,2.5,2.5,29.77,0,0.0,0.0,0.0,95.99,38.396,36.0
24,ARB (Pure Charge),0.022,1.09,3.568,0.0,0.3215,1.624,2.5,54.02,0,0.0,0.0,0.0,95.99,38.396,36.0
