Hora,Modo_Operacao,PV_kW,Load_kW,Grid_Import_kW,Grid_Export_kW,Custo_Hora_Euros,Opt_BESS_kW,Setpoint_BESS_kW,SOC_BESS_%,Alpha_EV1,Opt_EV1_kW,Cmd_EV1_kW,Act_EV1_kW,SOC_EV1_%,Energy_EV1_kWh,Target_Energy_EV1_kWh
1,IDLE,0.02,0.955,0.935,0.0,0.0843,0.0,0.0,15.0,0,0.0,0.0,0.0,12.5,5.0,36.0
2,IDLE,0.018,0.884,0.865,0.0,0.078,0.0,0.0,15.0,0,0.0,0.0,0.0,12.5,5.0,36.0
3,IDLE,0.013,0.956,0.943,0.0,0.085,0.0,0.0,15.0,0,0.0,0.0,0.0,12.5,5.0,36.0
4,ARB (Pure Charge),0.002,1.062,3.56,0.0,0.3208,2.5,2.5,39.25,0,0.0,0.0,0.0,12.5,5.0,36.0
5,ARB (Pure Charge),0.0,0.986,6.885,0.0,0.6204,2.5,0.0,39.25,1,0.0,5.9,5.9,26.07,10.428,36.0
6,ARB (Pure Charge),0.03,1.096,6.865,0.0,0.6186,2.5,0.0,39.25,1,0.0,5.8,5.8,39.41,15.764,36.0
7,ARB (Pure Charge),0.182,1.006,6.824,0.0,0.6149,1.263,0.0,39.25,1,0.0,6.0,6.0,53.21,21.284,36.0
8,ARB (Mixed Charge),0.511,1.27,4.359,0.0,0.3927,-0.759,-2.5,13.48,1,6.9,6.1,6.1,67.24,26.896,36.0
9,ARB (Mixed Charge),1.066,2.075,6.009,0.0,0.9362,-2.5,-0.8,5.23,1,6.9,5.8,5.8,80.58,32.232,36.0
10,ARB (Mixed Charge),1.949,3.467,6.818,0.0,1.0623,-2.5,0.0,5.23,1,3.806,5.3,5.3,92.77,37.108,36.0
11,SC (Discharge),3.075,3.669,0.594,0.0,0.1326,-0.594,0.0,5.23,0,0.0,0.0,0.0,92.77,37.108,36.0
12,SC (Discharge),4.057,3.58,0.0,0.477,-0.0381,-2.5,0.0,5.23,1,2.977,0.0,0.0,92.77,37.108,36.0
13,SC (Charge),4.718,3.315,0.0,0.003,-0.0003,1.403,0.0,5.23,1,0.0,1.4,1.4,95.99,38.396,36.0
14,SC (Charge),5.002,2.828,0.0,0.074,-0.0059,2.174,2.1,25.6,0,0.0,0.0,0.0,95.99,38.396,36.0
15,ARB (Mixed Charge),4.735,3.093,0.0,3.542,-0.2833,-2.5,-1.9,6.01,0,6.9,0.0,0.0,95.99,38.396,36.0
16,ARB (EV Charge Only),4.238,3.374,0.0,0.864,-0.0691,0.0,0.0,6.01,0,2.3,0.0,0.0,95.99,38.396,36.0
17,ARB (EV Charge Only),3.285,2.638,0.0,0.648,-0.0518,0.0,0.0,6.01,0,2.3,0.0,0.0,95.99,38.396,36.0
18,ARB (EV Charge Only),2.096,1.83,0.0,0.266,-0.0213,0.0,0.0,6.01,0,2.3,0.0,0.0,95.99,38.396,36.0
19,SC (Discharge),0.89,1.313,0.423,0.0,0.0945,-0.423,0.0,6.01,0,0.0,0.0,0.0,95.99,38.396,36.0
20,SC (Discharge),0.182,1.088,0.906,0.0,0.2023,-0.906,0.0,6.01,0,0.0,0.0,0.0,95.99,38.396,36.0
21,SC (Discharge),0.02,1.123,1.103,0.0,0.1718,-0.383,0.0,6.01,0,0.0,0.0,0.0,95.99,38.396,36.0
22,IDLE,0.019,1.109,1.09,0.0,0.1698,0.0,0.0,6.01,0,0.0,0.0,0.0,95.99,38.396,36.0
23,ARB (Pure Charge),0.021,1.153,3.632,0.0,0.3273,1.624,2.5,30.26,0,0.0,0.0,0.0,95.99,38.396,36.0
24,ARB (Pure Charge),0.022,1.09,3.568,0.0,0.3215,2.5,2.5,54.51,0,0.0,0.0,0.0,95.99,38.396,36.0
