Hora,Modo_Operacao,PV_L1_kW,PV_L2_kW,PV_L3_kW,PV_Global_kW,Load_L1_kW,Load_L2_kW,Load_L3_kW,Load_Global_kW,Grid_Import_L1_kW,Grid_Import_L2_kW,Grid_Import_L3_kW,Grid_Import_Global_kW,Grid_Export_L1_kW,Grid_Export_L2_kW,Grid_Export_L3_kW,Grid_Export_Global_kW,Opt_BESS_kW,Setpoint_BESS_Global_kW,SOC_BESS_%,Energy_BESS_kWh,Fase_EV1,Alpha_EV1,Opt_EV1_kW,Setpoint_EV1_kW,SOC_EV1_%,Energy_EV1_kWh
1,IDLE,0.008,0.008,0.008,0.024,0.955,1.061,1.168,3.184,0.947,1.054,1.16,3.161,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,12.5,5.0
2,IDLE,0.007,0.007,0.007,0.022,0.884,0.982,1.08,2.945,0.876,0.974,1.073,2.923,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,12.5,5.0
3,IDLE,0.005,0.005,0.005,0.015,0.956,1.062,1.168,3.186,0.951,1.057,1.163,3.171,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,12.5,5.0
4,IDLE,0.001,0.001,0.001,0.002,1.062,1.18,1.298,3.539,1.061,1.179,1.297,3.537,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,12.5,5.0
5,IDLE,0.0,0.0,0.0,0.0,0.986,1.095,1.205,3.285,0.985,1.095,1.204,3.285,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,12.5,5.0
6,IDLE,0.012,0.012,0.012,0.036,1.096,1.217,1.339,3.652,1.083,1.205,1.327,3.616,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,12.5,5.0
7,IDLE,0.073,0.073,0.073,0.218,1.006,1.118,1.23,3.354,0.933,1.045,1.157,3.135,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,12.5,5.0
8,ARB (Charge),0.204,0.204,0.204,0.613,1.27,1.411,1.552,4.234,6.866,1.207,1.348,9.42,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,1,6.141,5.8,25.84,10.336
9,ARB (Charge),0.427,0.427,0.427,1.28,2.075,2.306,2.537,6.918,6.849,1.879,2.11,10.838,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,1,5.891,5.2,37.8,15.12
10,ARB (Charge),0.78,0.78,0.78,2.339,3.467,3.852,4.238,11.557,6.888,3.073,3.458,13.418,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,1,5.382,4.2,47.46,18.984
11,V2H,1.23,1.23,1.23,3.69,3.669,4.077,4.485,12.231,0.039,2.847,3.255,6.141,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,1,-0.594,-2.4,40.94,16.375
12,IDLE,1.623,1.623,1.623,4.868,3.58,3.978,4.375,11.933,1.957,2.355,2.753,7.065,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,1,0.0,0.0,40.94,16.375
13,IDLE,1.887,1.887,1.887,5.662,3.315,3.683,4.052,11.05,1.428,1.796,2.164,5.388,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,40.94,16.375
14,IDLE,2.001,2.001,2.001,6.003,2.828,3.143,3.457,9.428,0.828,1.142,1.456,3.425,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,40.94,16.375
15,ARB (Charge),1.894,1.894,1.894,5.682,3.093,3.437,3.781,10.311,6.499,1.543,1.887,9.929,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,1,6.186,5.3,53.13,21.251
16,ARB (Charge),1.695,1.695,1.695,5.086,3.374,3.748,4.123,11.245,6.878,2.053,2.428,11.36,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,1,6.9,5.2,65.09,26.035
17,ARB (Charge),1.314,1.314,1.314,3.943,2.638,2.931,3.224,8.793,6.724,1.617,1.91,10.25,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,1,2.3,5.4,77.51,31.003
18,ARB (Charge),0.838,0.838,0.838,2.515,1.83,2.033,2.237,6.1,6.392,1.195,1.398,8.985,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,1,2.3,5.4,89.93,35.971
19,IDLE,0.356,0.356,0.356,1.068,1.313,1.459,1.605,4.377,0.957,1.103,1.249,3.309,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,89.93,35.971
20,IDLE,0.073,0.073,0.073,0.218,1.088,1.209,1.33,3.628,1.016,1.136,1.257,3.409,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,89.93,35.971
21,IDLE,0.008,0.008,0.008,0.023,1.123,1.247,1.372,3.742,1.115,1.239,1.364,3.718,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,89.93,35.971
22,IDLE,0.008,0.008,0.008,0.023,1.109,1.232,1.355,3.696,1.101,1.224,1.348,3.673,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,89.93,35.971
23,IDLE,0.008,0.008,0.008,0.025,1.153,1.281,1.41,3.844,1.145,1.273,1.401,3.819,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,89.93,35.971
24,IDLE,0.009,0.009,0.009,0.026,1.09,1.211,1.332,3.632,1.081,1.202,1.323,3.606,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,89.93,35.971
