Hora,Modo_Operacao,PV_L1_kW,PV_L2_kW,PV_L3_kW,PV_Global_kW,Load_L1_kW,Load_L2_kW,Load_L3_kW,Load_Global_kW,Grid_Import_L1_kW,Grid_Import_L2_kW,Grid_Import_L3_kW,Grid_Import_Global_kW,Grid_Export_L1_kW,Grid_Export_L2_kW,Grid_Export_L3_kW,Grid_Export_Global_kW,Opt_BESS_kW,Setpoint_BESS_Global_kW,SOC_BESS_%,Energy_BESS_kWh,Fase_EV1,Alpha_EV1,Opt_EV1_kW,Setpoint_EV1_kW,SOC_EV1_%,Energy_EV1_kWh
1,IDLE,0.02,0.02,0.02,0.06,0.955,1.061,1.168,3.184,0.935,1.042,1.148,3.125,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.5,L1,0,0.0,0.0,12.5,5.0
2,IDLE,0.018,0.018,0.018,0.055,0.884,0.982,1.08,2.945,0.865,0.963,1.062,2.89,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.5,L1,0,0.0,0.0,12.5,5.0
3,ARB (Charge),0.013,0.013,0.013,0.038,0.956,1.062,1.168,3.186,1.776,1.883,1.989,5.648,0.0,0.0,0.0,0.0,2.5,2.5,39.25,3.925,L1,0,0.0,0.0,12.5,5.0
4,IDLE,0.002,0.002,0.002,0.005,1.062,1.18,1.298,3.539,1.06,1.178,1.296,3.534,0.0,0.0,0.0,0.0,0.0,0.0,39.25,3.925,L1,0,0.0,0.0,12.5,5.0
5,ARB (Charge),0.0,0.0,0.0,0.001,0.986,1.095,1.205,3.285,1.385,1.495,1.604,4.484,0.0,0.0,0.0,0.0,1.263,1.2,50.89,5.089,L1,1,0.0,0.0,12.5,5.0
6,ARB (Charge),0.03,0.03,0.03,0.091,1.096,1.217,1.339,3.652,1.899,2.02,2.142,6.061,0.0,0.0,0.0,0.0,2.5,2.5,75.14,7.514,L1,1,0.0,0.0,12.5,5.0
7,ARB (Charge),0.182,0.182,0.182,0.546,1.006,1.118,1.23,3.354,1.658,1.769,1.881,5.308,0.0,0.0,0.0,0.0,2.5,2.5,99.39,9.939,L1,1,0.0,0.0,12.5,5.0
8,ARB (Charge),0.511,0.511,0.511,1.533,1.27,1.411,1.552,4.234,6.861,0.302,0.443,7.606,0.0,0.0,0.0,0.0,0.0,-1.7943627233478212,80.89,8.089,L1,1,6.141,6.7,27.91,11.164
9,SC (Discharge),1.066,1.066,1.066,3.199,6.0,6.0,6.0,18.0,6.8,4.1,4.1,15.001,0.0,0.0,0.0,0.0,-2.5,-2.5,55.12,5.512,L1,1,6.724,2.7,34.12,13.648
10,SC (Discharge),1.949,1.949,1.949,5.847,6.0,6.0,6.0,18.0,6.818,3.218,3.218,13.253,0.0,0.0,0.0,0.0,-2.5,-2.5,29.35,2.935,L1,1,6.215,3.6,42.4,16.96
11,ARB (Discharge),3.075,3.075,3.075,9.225,6.0,6.0,6.0,18.0,6.838,2.138,2.138,11.114,0.0,0.0,0.0,0.0,-2.5,-2.361467276652177,5.0,0.5,L1,1,0.0,4.7,53.21,21.284
12,ARB (Discharge),4.057,4.057,4.057,12.17,6.0,6.0,6.0,18.0,6.843,1.943,1.943,10.73,0.0,0.0,0.0,0.0,-0.054,0.0,5.0,0.5,L1,1,0.0,4.9,64.48,25.792
13,ARB (Charge),4.718,4.718,4.718,14.155,3.315,3.683,4.052,11.05,0.0,0.0,0.167,0.167,0.57,0.202,0.0,0.772,2.5,2.5,29.25,2.925,L1,0,0.0,0.0,64.48,25.792
14,SC (Charge),5.002,5.002,5.002,15.007,2.828,3.143,3.457,9.428,0.0,0.0,0.0,0.0,1.341,1.026,0.712,3.079,2.5,2.5,53.5,5.35,L1,0,0.0,0.0,64.48,25.792
15,ARB (Charge),4.735,4.735,4.735,14.205,3.093,3.437,3.781,10.311,0.0,0.0,0.0,0.0,0.808,0.465,0.121,1.394,2.5,2.5,77.75,7.775,L1,0,6.9,0.0,64.48,25.792
16,ARB (Charge),4.238,4.238,4.238,12.714,3.374,3.748,4.123,11.245,0.0,0.0,0.0,0.0,0.764,0.39,0.015,1.169,0.344,0.3,80.66,8.066,L1,0,3.803,0.0,64.48,25.792
17,ARB (Charge),3.285,3.285,3.285,9.856,2.638,2.931,3.224,8.793,0.0,0.0,0.0,0.0,0.614,0.321,0.028,0.964,0.184,0.1,81.63,8.163,L1,0,2.3,0.0,64.48,25.792
18,ARB (Charge),2.096,2.096,2.096,6.287,1.83,2.033,2.237,6.1,0.0,0.0,0.141,0.141,0.266,0.062,0.0,0.328,-0.423,0.0,81.63,8.163,L1,0,2.3,0.0,64.48,25.792
19,ARB (Discharge),0.89,0.89,0.89,2.67,1.313,1.459,1.605,4.377,0.0,0.003,0.148,0.151,0.143,0.0,0.0,0.143,-1.777,-1.7,64.1,6.41,L1,0,0.0,0.0,64.48,25.792
20,SC (Discharge),0.182,0.182,0.182,0.546,1.088,1.209,1.33,3.628,0.073,0.194,0.315,0.582,0.0,0.0,0.0,0.0,-2.5,-2.5,38.33,3.833,L1,0,0.0,0.0,64.48,25.792
21,SC (Discharge),0.02,0.02,0.02,0.059,1.123,1.247,1.372,3.742,0.27,0.394,0.519,1.183,0.0,0.0,0.0,0.0,-2.5,-2.5,12.56,1.256,L1,0,0.0,0.0,64.48,25.792
22,SC (Discharge),0.019,0.019,0.019,0.056,1.109,1.232,1.355,3.696,0.857,0.98,1.103,2.94,0.0,0.0,0.0,0.0,-2.5,-0.7,5.34,0.534,L1,0,0.0,0.0,64.48,25.792
23,ARB (Charge),0.021,0.021,0.021,0.063,1.153,1.281,1.41,3.844,1.966,2.094,2.222,6.281,0.0,0.0,0.0,0.0,2.5,2.5,29.59,2.959,L1,0,0.0,0.0,64.48,25.792
24,ARB (Charge),0.022,0.022,0.022,0.065,1.09,1.211,1.332,3.632,1.601,1.722,1.843,5.167,0.0,0.0,0.0,0.0,1.624,1.6,45.11,4.511,L1,0,0.0,0.0,64.48,25.792
