Hora,Modo_Operacao,PV_L1_kW,PV_L2_kW,PV_L3_kW,PV_Global_kW,Load_L1_kW,Load_L2_kW,Load_L3_kW,Load_Global_kW,Grid_Import_L1_kW,Grid_Import_L2_kW,Grid_Import_L3_kW,Grid_Import_Global_kW,Grid_Export_L1_kW,Grid_Export_L2_kW,Grid_Export_L3_kW,Grid_Export_Global_kW,Opt_BESS_kW,Setpoint_BESS_Global_kW,SOC_BESS_%,Energy_BESS_kWh,Fase_EV1,Alpha_EV1,Opt_EV1_kW,Setpoint_EV1_kW,SOC_EV1_%,Energy_EV1_kWh
1,IDLE,0.02,0.02,0.02,0.06,0.955,1.061,1.168,3.184,0.935,1.042,1.148,3.125,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.5,L1,0,0.0,0.0,12.5,5.0
2,IDLE,0.018,0.018,0.018,0.055,0.884,0.982,1.08,2.945,0.865,0.963,1.062,2.89,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.5,L1,0,0.0,0.0,12.5,5.0
3,ARB (Charge),0.013,0.013,0.013,0.038,0.956,1.062,1.168,3.186,1.776,1.883,1.989,5.648,0.0,0.0,0.0,0.0,2.5,2.5,39.25,3.925,L1,0,0.0,0.0,12.5,5.0
4,IDLE,0.002,0.002,0.002,0.005,1.062,1.18,1.298,3.539,1.06,1.178,1.296,3.534,0.0,0.0,0.0,0.0,0.0,0.0,39.25,3.925,L1,0,0.0,0.0,12.5,5.0
5,ARB (Charge),0.0,0.0,0.0,0.001,0.986,1.095,1.205,3.285,1.385,1.495,1.604,4.484,0.0,0.0,0.0,0.0,1.263,1.2,50.89,5.089,L1,0,0.0,0.0,12.5,5.0
6,ARB (Charge),0.03,0.03,0.03,0.091,1.096,1.217,1.339,3.652,1.899,2.02,2.142,6.061,0.0,0.0,0.0,0.0,2.5,2.5,75.14,7.514,L1,0,0.0,0.0,12.5,5.0
7,ARB (Charge),0.182,0.182,0.182,0.546,1.006,1.118,1.23,3.354,1.658,1.769,1.881,5.308,0.0,0.0,0.0,0.0,2.5,2.5,99.39,9.939,L1,0,0.0,0.0,12.5,5.0
8,ARB (Charge),0.511,0.511,0.511,1.533,1.27,1.411,1.552,4.234,0.759,0.9,1.041,2.7,0.0,0.0,0.0,0.0,0.0,0.0,99.39,9.939,L1,0,6.141,0.0,12.5,5.0
9,SC (Discharge),1.066,1.066,1.066,3.199,2.075,2.306,2.537,6.918,0.176,0.406,0.637,1.219,0.0,0.0,0.0,0.0,-2.5,-2.5,73.62,7.362,L1,0,6.724,0.0,12.5,5.0
10,SC (Discharge),1.949,1.949,1.949,5.847,3.467,3.852,4.238,11.557,6.885,1.07,1.455,9.41,0.0,0.0,0.0,0.0,-2.5,-2.5,47.84,4.784,L1,1,6.215,6.2,26.76,10.704
11,ARB (Discharge),3.075,3.075,3.075,9.225,3.669,4.077,4.485,12.231,0.0,0.169,0.576,0.745,0.239,0.0,0.0,0.239,-2.5,-2.5,22.07,2.207,L1,1,0.0,0.0,26.76,10.704
12,ARB (Discharge),4.057,4.057,4.057,12.17,3.58,3.978,4.375,11.933,0.0,0.0,0.319,0.319,0.477,0.079,0.0,0.556,-0.054,0.0,22.07,2.207,L1,1,0.0,0.0,26.76,10.704
13,ARB (Charge),4.718,4.718,4.718,14.155,3.315,3.683,4.052,11.05,0.0,0.0,0.167,0.167,0.57,0.202,0.0,0.772,2.5,2.5,46.32,4.632,L1,0,0.0,0.0,26.76,10.704
14,SC (Charge),5.002,5.002,5.002,15.007,2.828,3.143,3.457,9.428,0.0,0.0,0.0,0.0,1.341,1.026,0.712,3.079,2.5,2.5,70.57,7.057,L1,0,0.0,0.0,26.76,10.704
15,ARB (Charge),4.735,4.735,4.735,14.205,3.093,3.437,3.781,10.311,0.0,0.0,0.0,0.0,0.808,0.465,0.121,1.394,2.5,2.5,94.82,9.482,L1,0,6.9,0.0,26.76,10.704
16,ARB (Charge),4.238,4.238,4.238,12.714,3.374,3.748,4.123,11.245,5.936,0.0,0.0,5.936,0.0,0.49,0.115,0.604,0.344,0.0,94.82,9.482,L1,1,3.803,6.8,42.4,16.96
17,ARB (Charge),3.285,3.285,3.285,9.856,2.638,2.931,3.224,8.793,6.152,0.0,0.0,6.152,0.0,0.355,0.061,0.416,0.184,0.0,94.82,9.482,L1,1,2.3,6.8,58.04,23.216
18,ARB (Charge),2.096,2.096,2.096,6.287,1.83,2.033,2.237,6.1,6.634,0.0,0.141,6.775,0.0,0.062,0.0,0.062,-0.423,0.0,94.82,9.482,L1,1,2.3,6.9,73.91,29.564
19,ARB (Discharge),0.89,0.89,0.89,2.67,1.313,1.459,1.605,4.377,6.804,0.05,0.196,7.051,0.0,0.0,0.0,0.0,-1.777,-1.5568692267391322,78.77,7.877,L1,1,0.0,6.9,89.78,35.912
20,SC (Discharge),0.182,0.182,0.182,0.546,1.088,1.209,1.33,3.628,0.073,0.194,0.315,0.582,0.0,0.0,0.0,0.0,-2.5,-2.5,53.0,5.3,L1,0,0.0,0.0,89.78,35.912
21,SC (Discharge),0.02,0.02,0.02,0.059,1.123,1.247,1.372,3.742,0.27,0.394,0.519,1.183,0.0,0.0,0.0,0.0,-2.5,-2.5,27.22,2.722,L1,0,0.0,0.0,89.78,35.912
22,SC (Discharge),0.019,0.019,0.019,0.056,1.109,1.232,1.355,3.696,0.39,0.513,0.636,1.54,0.0,0.0,0.0,0.0,-2.5,-2.1,5.57,0.557,L1,0,0.0,0.0,89.78,35.912
23,ARB (Charge),0.021,0.021,0.021,0.063,1.153,1.281,1.41,3.844,1.966,2.094,2.222,6.281,0.0,0.0,0.0,0.0,2.5,2.5,29.82,2.982,L1,0,0.0,0.0,89.78,35.912
24,ARB (Charge),0.022,0.022,0.022,0.065,1.09,1.211,1.332,3.632,1.601,1.722,1.843,5.167,0.0,0.0,0.0,0.0,1.624,1.6,45.34,4.534,L1,0,0.0,0.0,89.78,35.912
