Hora,Modo_Operacao,PV_L1_kW,PV_L2_kW,PV_L3_kW,PV_Global_kW,Load_L1_kW,Load_L2_kW,Load_L3_kW,Load_Global_kW,Grid_Import_L1_kW,Grid_Import_L2_kW,Grid_Import_L3_kW,Grid_Import_Global_kW,Grid_Export_L1_kW,Grid_Export_L2_kW,Grid_Export_L3_kW,Grid_Export_Global_kW,Opt_BESS_kW,Setpoint_BESS_Global_kW,SOC_BESS_%,Energy_BESS_kWh,Fase_EV1,Alpha_EV1,Opt_EV1_kW,Setpoint_EV1_kW,SOC_EV1_%,Energy_EV1_kWh
1,IDLE,0.008,0.008,0.008,0.024,0.955,1.061,1.168,3.184,0.947,1.054,1.16,3.161,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.5,L1,0,0.0,0.0,12.5,5.0
2,IDLE,0.007,0.007,0.007,0.022,0.884,0.982,1.08,2.945,0.876,0.974,1.073,2.923,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.5,L1,0,0.0,0.0,12.5,5.0
3,ARB (Charge),0.005,0.005,0.005,0.015,0.956,1.062,1.168,3.186,1.784,1.89,1.996,5.671,0.0,0.0,0.0,0.0,2.5,2.5,39.25,3.925,L1,0,0.0,0.0,12.5,5.0
4,IDLE,0.001,0.001,0.001,0.002,1.062,1.18,1.298,3.539,1.061,1.179,1.297,3.537,0.0,0.0,0.0,0.0,0.0,0.0,39.25,3.925,L1,0,0.0,0.0,12.5,5.0
5,ARB (Charge),0.0,0.0,0.0,0.0,0.986,1.095,1.205,3.285,1.385,1.495,1.604,4.485,0.0,0.0,0.0,0.0,1.263,1.2,50.89,5.089,L1,0,0.0,0.0,12.5,5.0
6,ARB (Charge),0.012,0.012,0.012,0.036,1.096,1.217,1.339,3.652,1.917,2.039,2.16,6.116,0.0,0.0,0.0,0.0,2.5,2.5,75.14,7.514,L1,0,0.0,0.0,12.5,5.0
7,ARB (Charge),0.073,0.073,0.073,0.218,1.006,1.118,1.23,3.354,1.767,1.878,1.99,5.635,0.0,0.0,0.0,0.0,2.5,2.5,99.39,9.939,L1,0,0.0,0.0,12.5,5.0
8,ARB (Charge),0.204,0.204,0.204,0.613,1.27,1.411,1.552,4.234,6.866,1.207,1.348,9.42,0.0,0.0,0.0,0.0,0.0,0.0,99.39,9.939,L1,1,6.141,5.8,25.84,10.336
9,SC (Discharge),0.427,0.427,0.427,1.28,6.0,6.0,6.0,18.0,6.84,4.74,4.74,16.32,0.0,0.0,0.0,0.0,-2.5,-2.5,73.62,7.362,L1,1,6.724,2.1,30.67,12.268
10,SC (Discharge),0.78,0.78,0.78,2.339,6.0,6.0,6.0,18.0,6.887,4.387,4.387,15.661,0.0,0.0,0.0,0.0,-2.5,-2.5,47.84,4.784,L1,1,6.215,2.5,36.42,14.568
11,ARB (Discharge),1.23,1.23,1.23,3.69,6.0,6.0,6.0,18.0,3.937,3.937,3.937,11.81,0.0,0.0,0.0,0.0,-2.5,-2.5,22.07,2.207,L1,1,0.0,0.0,36.42,14.568
12,ARB (Discharge),1.623,1.623,1.623,4.868,6.0,6.0,6.0,18.0,4.377,4.377,4.377,13.132,0.0,0.0,0.0,0.0,-0.054,0.0,22.07,2.207,L1,1,0.0,0.0,36.42,14.568
13,ARB (Charge),1.887,1.887,1.887,5.662,3.315,3.683,4.052,11.05,2.261,2.629,2.998,7.888,0.0,0.0,0.0,0.0,2.5,2.5,46.32,4.632,L1,0,0.0,0.0,36.42,14.568
14,SC (Charge),2.001,2.001,2.001,6.003,2.828,3.143,3.457,9.428,0.828,1.142,1.456,3.425,0.0,0.0,0.0,0.0,2.5,0.0,46.32,4.632,L1,0,0.0,0.0,36.42,14.568
15,ARB (Charge),1.894,1.894,1.894,5.682,3.093,3.437,3.781,10.311,6.876,1.42,1.764,10.059,0.0,0.0,0.0,0.0,2.5,-0.3698921444347816,42.51,4.251,L1,1,6.9,5.8,49.76,19.904
16,ARB (Charge),1.695,1.695,1.695,5.086,3.374,3.748,4.123,11.245,6.868,1.443,1.818,10.129,0.0,0.0,0.0,0.0,0.344,-1.8308048729130393,23.63,2.363,L1,1,3.803,5.8,63.1,25.24
17,ARB (Charge),1.314,1.314,1.314,3.943,2.638,2.931,3.224,8.793,6.852,1.345,1.638,9.836,0.0,0.0,0.0,0.0,0.184,-0.8144460778695661,15.24,1.524,L1,1,2.3,5.8,76.44,30.576
18,ARB (Charge),0.838,0.838,0.838,2.515,1.83,2.033,2.237,6.1,6.792,1.195,1.398,9.385,0.0,0.0,0.0,0.0,-0.423,0.0,15.24,1.524,L1,1,2.3,5.8,89.78,35.912
19,ARB (Discharge),0.356,0.356,0.356,1.068,1.313,1.459,1.605,4.377,0.657,0.803,0.949,2.409,0.0,0.0,0.0,0.0,-1.777,-0.9,5.96,0.596,L1,0,0.0,0.0,89.78,35.912
20,SC (Discharge),0.073,0.073,0.073,0.218,1.088,1.209,1.33,3.628,1.016,1.136,1.257,3.409,0.0,0.0,0.0,0.0,-2.5,0.0,5.96,0.596,L1,0,0.0,0.0,89.78,35.912
21,SC (Discharge),0.008,0.008,0.008,0.023,1.123,1.247,1.372,3.742,1.115,1.239,1.364,3.718,0.0,0.0,0.0,0.0,-2.5,0.0,5.96,0.596,L1,0,0.0,0.0,89.78,35.912
